"filename", "language", "C#", "JSON", "Database", "XML", "comment", "blank", "total"
"e:\BGGT XRM\BizzMaster\API\API.csproj", "XML", 0, 0, 0, 22, 0, 4, 26
"e:\BGGT XRM\BizzMaster\API\Controllers\AccountController.cs", "C#", 76, 0, 0, 0, 0, 15, 91
"e:\BGGT XRM\BizzMaster\API\Controllers\AuditController.cs", "C#", 73, 0, 0, 0, 0, 18, 91
"e:\BGGT XRM\BizzMaster\API\Controllers\BaseApiController.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"e:\BGGT XRM\BizzMaster\API\Controllers\BasicsController.cs", "C#", 77, 0, 0, 0, 2, 15, 94
"e:\BGGT XRM\BizzMaster\API\Controllers\CarController.cs", "C#", 112, 0, 0, 0, 0, 30, 142
"e:\BGGT XRM\BizzMaster\API\Controllers\CommercialController.cs", "C#", 106, 0, 0, 0, 0, 17, 123
"e:\BGGT XRM\BizzMaster\API\Controllers\OrderController.cs", "C#", 183, 0, 0, 0, 21, 55, 259
"e:\BGGT XRM\BizzMaster\API\Controllers\ProductsController.cs", "C#", 78, 0, 0, 0, 0, 21, 99
"e:\BGGT XRM\BizzMaster\API\Controllers\ProjectController.cs", "C#", 118, 0, 0, 0, 2, 19, 139
"e:\BGGT XRM\BizzMaster\API\Controllers\SalesForecastController.cs", "C#", 145, 0, 0, 0, 21, 45, 211
"e:\BGGT XRM\BizzMaster\API\Controllers\ShipmentController.cs", "C#", 160, 0, 0, 0, 0, 42, 202
"e:\BGGT XRM\BizzMaster\API\Controllers\StockController.cs", "C#", 197, 0, 0, 0, 21, 59, 277
"e:\BGGT XRM\BizzMaster\API\Controllers\SuppliersController.cs", "C#", 218, 0, 0, 0, 23, 70, 311
"e:\BGGT XRM\BizzMaster\API\Data\BMContext.cs", "C#", 52, 0, 0, 0, 0, 17, 69
"e:\BGGT XRM\BizzMaster\API\Data\BizzMaster.db", "Database", 0, 0, 713, 0, 0, 35, 748
"e:\BGGT XRM\BizzMaster\API\Data\DataInitializers\DbInitializer.cs", "C#", 529, 0, 0, 0, 0, 91, 620
"e:\BGGT XRM\BizzMaster\API\Data\Migrations\20220314110433_InitialCreate.Designer.cs", "C#", 1036, 0, 0, 0, 1, 404, 1441
"e:\BGGT XRM\BizzMaster\API\Data\Migrations\20220314110433_InitialCreate.cs", "C#", 1001, 0, 0, 0, 0, 104, 1105
"e:\BGGT XRM\BizzMaster\API\Data\Migrations\BMContextModelSnapshot.cs", "C#", 1034, 0, 0, 0, 1, 404, 1439
"e:\BGGT XRM\BizzMaster\API\Dtos\AuditDto.cs", "C#", 29, 0, 0, 0, 0, 5, 34
"e:\BGGT XRM\BizzMaster\API\Dtos\BrandDto.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"e:\BGGT XRM\BizzMaster\API\Dtos\CarDtos.cs", "C#", 28, 0, 0, 0, 0, 3, 31
"e:\BGGT XRM\BizzMaster\API\Dtos\CategoryDto.cs", "C#", 21, 0, 0, 0, 0, 4, 25
"e:\BGGT XRM\BizzMaster\API\Dtos\CommercialDto.cs", "C#", 42, 0, 0, 0, 0, 21, 63
"e:\BGGT XRM\BizzMaster\API\Dtos\ContactDto.cs", "C#", 19, 0, 0, 0, 0, 1, 20
"e:\BGGT XRM\BizzMaster\API\Dtos\LeadTimeDto.cs", "C#", 20, 0, 0, 0, 0, 5, 25
"e:\BGGT XRM\BizzMaster\API\Dtos\LoginDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"e:\BGGT XRM\BizzMaster\API\Dtos\OrderDto.cs", "C#", 31, 0, 0, 0, 0, 5, 36
"e:\BGGT XRM\BizzMaster\API\Dtos\ProductDto.cs", "C#", 20, 0, 0, 0, 0, 2, 22
"e:\BGGT XRM\BizzMaster\API\Dtos\ProjectDto.cs", "C#", 75, 0, 0, 0, 0, 28, 103
"e:\BGGT XRM\BizzMaster\API\Dtos\RegisterDto.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"e:\BGGT XRM\BizzMaster\API\Dtos\SalesForecastDto.cs", "C#", 30, 0, 0, 0, 0, 9, 39
"e:\BGGT XRM\BizzMaster\API\Dtos\ShipmentDto.cs", "C#", 30, 0, 0, 0, 0, 5, 35
"e:\BGGT XRM\BizzMaster\API\Dtos\StockDto.cs", "C#", 30, 0, 0, 0, 0, 5, 35
"e:\BGGT XRM\BizzMaster\API\Dtos\SupplierDto.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"e:\BGGT XRM\BizzMaster\API\Dtos\SupplyLineDto.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"e:\BGGT XRM\BizzMaster\API\Dtos\UserDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"e:\BGGT XRM\BizzMaster\API\Entities\BaseEntity.cs", "C#", 21, 0, 0, 0, 0, 11, 32
"e:\BGGT XRM\BizzMaster\API\Entities\Basics.cs", "C#", 45, 0, 0, 0, 0, 16, 61
"e:\BGGT XRM\BizzMaster\API\Entities\Car.cs", "C#", 18, 0, 0, 0, 0, 9, 27
"e:\BGGT XRM\BizzMaster\API\Entities\LeadTime.cs", "C#", 18, 0, 0, 0, 0, 3, 21
"e:\BGGT XRM\BizzMaster\API\Entities\Order.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"e:\BGGT XRM\BizzMaster\API\Entities\OrderRegistration.cs", "C#", 36, 0, 0, 0, 0, 19, 55
"e:\BGGT XRM\BizzMaster\API\Entities\Product.cs", "C#", 17, 0, 0, 0, 0, 16, 33
"e:\BGGT XRM\BizzMaster\API\Entities\Project.cs", "C#", 35, 0, 0, 0, 0, 11, 46
"e:\BGGT XRM\BizzMaster\API\Entities\SalesForecast.cs", "C#", 21, 0, 0, 0, 2, 3, 26
"e:\BGGT XRM\BizzMaster\API\Entities\Shipment.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"e:\BGGT XRM\BizzMaster\API\Entities\Stock.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"e:\BGGT XRM\BizzMaster\API\Entities\Supply.cs", "C#", 30, 0, 0, 0, 0, 13, 43
"e:\BGGT XRM\BizzMaster\API\Entities\User.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"e:\BGGT XRM\BizzMaster\API\Extensions\HttpExtensions.cs", "C#", 19, 0, 0, 0, 0, 3, 22
"e:\BGGT XRM\BizzMaster\API\Extensions\ProductExtensions.cs", "C#", 41, 0, 0, 0, 0, 14, 55
"e:\BGGT XRM\BizzMaster\API\Program.cs", "C#", 44, 0, 0, 0, 0, 12, 56
"e:\BGGT XRM\BizzMaster\API\Properties\launchSettings.json", "JSON", 0, 31, 0, 0, 0, 1, 32
"e:\BGGT XRM\BizzMaster\API\RequestHelpers\MetaData.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"e:\BGGT XRM\BizzMaster\API\RequestHelpers\PagedList.cs", "C#", 32, 0, 0, 0, 0, 7, 39
"e:\BGGT XRM\BizzMaster\API\RequestHelpers\PaginationParams.cs", "C#", 18, 0, 0, 0, 0, 1, 19
"e:\BGGT XRM\BizzMaster\API\RequestHelpers\ProductParams.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"e:\BGGT XRM\BizzMaster\API\Services\TokenService.cs", "C#", 48, 0, 0, 0, 0, 7, 55
"e:\BGGT XRM\BizzMaster\API\Startup.cs", "C#", 89, 0, 0, 0, 3, 14, 106
"e:\BGGT XRM\BizzMaster\API\WeatherForecast.cs", "C#", 11, 0, 0, 0, 0, 5, 16
"e:\BGGT XRM\BizzMaster\API\appsettings.Development.json", "JSON", 0, 15, 0, 0, 0, 1, 16
"e:\BGGT XRM\BizzMaster\API\appsettings.json", "JSON", 0, 10, 0, 0, 0, 1, 11
"Total", "-", 6313, 56, 713, 22, 97, 1750, 8951
