"filename", "language", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"e:\BGGT XRM\BizzMaster\client\src\app\api\agent.ts", "TypeScript", 0, 153, 0, 0, 26, 179
"e:\BGGT XRM\BizzMaster\client\src\app\components\AppPagination.tsx", "TypeScript React", 27, 0, 0, 0, 4, 31
"e:\BGGT XRM\BizzMaster\client\src\app\components\CheckBoxButtons.tsx", "TypeScript React", 33, 0, 0, 0, 5, 38
"e:\BGGT XRM\BizzMaster\client\src\app\components\RadioButtonGroup.tsx", "TypeScript React", 29, 0, 0, 0, 5, 34
"e:\BGGT XRM\BizzMaster\client\src\app\layout\App.tsx", "TypeScript React", 133, 0, 0, 0, 25, 158
"e:\BGGT XRM\BizzMaster\client\src\app\layout\Header.tsx", "TypeScript React", 81, 0, 0, 5, 12, 98
"e:\BGGT XRM\BizzMaster\client\src\app\layout\Loadingcomponent.tsx", "TypeScript React", 15, 0, 0, 0, 2, 17
"e:\BGGT XRM\BizzMaster\client\src\app\layout\Sidebar.tsx", "TypeScript React", 86, 0, 0, 0, 13, 99
"e:\BGGT XRM\BizzMaster\client\src\app\layout\SignedInMenu.tsx", "TypeScript React", 41, 0, 0, 0, 3, 44
"e:\BGGT XRM\BizzMaster\client\src\app\layout\styles.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\BGGT XRM\BizzMaster\client\src\app\models\car.ts", "TypeScript", 0, 29, 0, 0, 2, 31
"e:\BGGT XRM\BizzMaster\client\src\app\models\pagination.ts", "TypeScript", 0, 14, 0, 0, 2, 16
"e:\BGGT XRM\BizzMaster\client\src\app\models\product.ts", "TypeScript", 0, 21, 0, 0, 4, 25
"e:\BGGT XRM\BizzMaster\client\src\app\models\supply.ts", "TypeScript", 0, 22, 0, 0, 2, 24
"e:\BGGT XRM\BizzMaster\client\src\app\models\user.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"e:\BGGT XRM\BizzMaster\client\src\app\store\configureStore.ts", "TypeScript", 0, 16, 0, 0, 6, 22
"e:\BGGT XRM\BizzMaster\client\src\features\about\AboutPage.tsx", "TypeScript React", 8, 0, 0, 0, 1, 9
"e:\BGGT XRM\BizzMaster\client\src\features\account\Register.tsx", "TypeScript React", 105, 0, 0, 0, 6, 111
"e:\BGGT XRM\BizzMaster\client\src\features\account\accountSlice.ts", "TypeScript", 0, 70, 0, 0, 9, 79
"e:\BGGT XRM\BizzMaster\client\src\features\account\login.tsx", "TypeScript React", 74, 0, 0, 0, 14, 88
"e:\BGGT XRM\BizzMaster\client\src\features\cars\CarBrands.tsx", "TypeScript React", 18, 0, 0, 0, 11, 29
"e:\BGGT XRM\BizzMaster\client\src\features\cars\CarCard.tsx", "TypeScript React", 75, 0, 0, 0, 8, 83
"e:\BGGT XRM\BizzMaster\client\src\features\cars\CarFinder.tsx", "TypeScript React", 64, 0, 0, 0, 17, 81
"e:\BGGT XRM\BizzMaster\client\src\features\cars\Cars-old.tsx", "TypeScript React", 98, 0, 0, 29, 27, 154
"e:\BGGT XRM\BizzMaster\client\src\features\cars\Cars.tsx", "TypeScript React", 20, 0, 0, 0, 11, 31
"e:\BGGT XRM\BizzMaster\client\src\features\cars\Platforms.tsx", "TypeScript React", 19, 0, 0, 0, 11, 30
"e:\BGGT XRM\BizzMaster\client\src\features\commercial\CommercialCardDetail.tsx", "TypeScript React", 50, 0, 0, 0, 12, 62
"e:\BGGT XRM\BizzMaster\client\src\features\commercial\CommercialCards.tsx", "TypeScript React", 34, 0, 0, 0, 19, 53
"e:\BGGT XRM\BizzMaster\client\src\features\commercial\OrderRegistrationDetail.tsx", "TypeScript React", 57, 0, 0, 0, 12, 69
"e:\BGGT XRM\BizzMaster\client\src\features\commercial\OrderRegistrations.tsx", "TypeScript React", 35, 0, 0, 0, 19, 54
"e:\BGGT XRM\BizzMaster\client\src\features\error\NotFound.tsx", "TypeScript React", 14, 0, 0, 0, 1, 15
"e:\BGGT XRM\BizzMaster\client\src\features\home\HomePage.tsx", "TypeScript React", 8, 0, 0, 0, 1, 9
